name,address,category,purpose,goalosCreated,verificationStatus,etherscanUrl,deploymentTransactionHash,transactionUrl
AGIALPHA,0xA61a3B3a130a9c20768EEBF97E21515A6046a1fA,external,Canonical external AGIALPHA coordination asset,False,skipped_external,https://etherscan.io/address/0xA61a3B3a130a9c20768EEBF97E21515A6046a1fA,,
CommercializationPerformanceVault,0xc2816f41a97b1dE9b23AF79C09B0DF217d767b8F,vault,Commercialization and performance treasury,True,verified,https://etherscan.io/address/0xc2816f41a97b1dE9b23AF79C09B0DF217d767b8F,0xff3b0e9ea2b772728253198c9eaf546dc5c1c6d6b48ff6caf75cf2793ca294c7,https://etherscan.io/tx/0xff3b0e9ea2b772728253198c9eaf546dc5c1c6d6b48ff6caf75cf2793ca294c7
CommunityVault,0xc100C44eD7eb33f38953D26a1FC840A59F2A7F09,vault,Community and credential reserve,True,verified,https://etherscan.io/address/0xc100C44eD7eb33f38953D26a1FC840A59F2A7F09,0x0372a9b3e24b8a989ac68642e3c973b5b26a8b91eb0f63b01f96c5977fa86537,https://etherscan.io/tx/0x0372a9b3e24b8a989ac68642e3c973b5b26a8b91eb0f63b01f96c5977fa86537
LiquidityVault,0xf6f46da2CC6B896607CE62883bECaB41D927ed55,vault,Liquidity and operations reserve,True,verified,https://etherscan.io/address/0xf6f46da2CC6B896607CE62883bECaB41D927ed55,0x2d3e50668bf11a114cce795642e2889b467b2b3c759a76f79ddd40b6709c8b05,https://etherscan.io/tx/0x2d3e50668bf11a114cce795642e2889b467b2b3c759a76f79ddd40b6709c8b05
ProofRewardsVault,0x172da7eF2702358c3b552a75c360d752Ef900C3c,vault,Proof-work and builder rewards reserve,True,verified,https://etherscan.io/address/0x172da7eF2702358c3b552a75c360d752Ef900C3c,0x1b43c0e43fc7df6878e86d5bdce41f46a080a02af7fb6f6d93fcf29a02dda81a,https://etherscan.io/tx/0x1b43c0e43fc7df6878e86d5bdce41f46a080a02af7fb6f6d93fcf29a02dda81a
SecurityVault,0x30698AF1D276A5B5736b5BCd8fB01BE8baCF949d,vault,"Security, assurance, and bug-bounty reserve",True,verified,https://etherscan.io/address/0x30698AF1D276A5B5736b5BCd8fB01BE8baCF949d,0xdfac3d78295aa5fab7f91916f0506e8f468d37cde394d532a06d2030a7e39f5e,https://etherscan.io/tx/0xdfac3d78295aa5fab7f91916f0506e8f468d37cde394d532a06d2030a7e39f5e
JobClaimBondManager,0x10b5773a65EC53e585bF7dD8692bC14a35B326B9,workflow,Job claim bonds,True,verified,https://etherscan.io/address/0x10b5773a65EC53e585bF7dD8692bC14a35B326B9,0x5239c343fe81dc30d4a8cdf50b9640bca4cbdea100c981ef89f6b99a16fde195,https://etherscan.io/tx/0x5239c343fe81dc30d4a8cdf50b9640bca4cbdea100c981ef89f6b99a16fde195
JobRegistry,0xe9Dc9c1Affa3542e8b2eAC1F5B465a9b0E536767,workflow,AGIALPHA jobs and protected-liability registry,True,verified,https://etherscan.io/address/0xe9Dc9c1Affa3542e8b2eAC1F5B465a9b0E536767,0x4c9bcd6b17063307c54b2a7eaba5b37f118bc717468eac044e3373b3772378a9,https://etherscan.io/tx/0x4c9bcd6b17063307c54b2a7eaba5b37f118bc717468eac044e3373b3772378a9
LegacyAGIJobManagerRegistry,0x38042257CDB67F4b55fF312401ad8dD49EC128B1,workflow,Reviewed legacy AGIJobManager history,True,verified,https://etherscan.io/address/0x38042257CDB67F4b55fF312401ad8dD49EC128B1,0x06a1b79c45eb829fc6855782fca256e920b5301ec740f472027afff513635d7c,https://etherscan.io/tx/0x06a1b79c45eb829fc6855782fca256e920b5301ec740f472027afff513635d7c
PremiumAccessRegistry,0x38750929B26782EB7097F1E4833C14335EAB1b9E,workflow,Premium access records,True,verified,https://etherscan.io/address/0x38750929B26782EB7097F1E4833C14335EAB1b9E,0x7c1b93e8f3808dddff321d07159a2c63ae4ffafc70f2af0ba830df5a4cb86c64,https://etherscan.io/tx/0x7c1b93e8f3808dddff321d07159a2c63ae4ffafc70f2af0ba830df5a4cb86c64
ProofCardRegistry,0xC3E715b064acCEE475C9775385a42A7B0A6d53e6,workflow,Proof-card records,True,verified,https://etherscan.io/address/0xC3E715b064acCEE475C9775385a42A7B0A6d53e6,0x74770c583feb2df094116d56fa513a525f36c3a593f21b00a1e61fdaa79cb8c3,https://etherscan.io/tx/0x74770c583feb2df094116d56fa513a525f36c3a593f21b00a1e61fdaa79cb8c3
